Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Covid-19,Chrome 80.0.3987.149,,,2020-04-08 00:43:28,2020-04-08 00:45:09,1m - 40.019s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.149,,,2020-04-08 00:43:29,2020-04-08 00:44:05,35.460s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.149,,,2020-04-08 00:43:30,2020-04-08 00:43:46,15.963s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.149,,,2020-04-08 00:43:46,2020-04-08 00:43:47,1.618s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.149,,,2020-04-08 00:43:47,2020-04-08 00:44:04,16.844s,PASSED
closeBrowser(),Chrome 80.0.3987.149,,,2020-04-08 00:44:04,2020-04-08 00:44:05,0.427s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.149,,,2020-04-08 00:44:05,2020-04-08 00:44:38,32.856s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.149,,,2020-04-08 00:44:05,2020-04-08 00:44:19,13.836s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.149,,,2020-04-08 00:44:19,2020-04-08 00:44:29,10.634s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.149,,,2020-04-08 00:44:29,2020-04-08 00:44:37,7.927s,PASSED
closeBrowser(),Chrome 80.0.3987.149,,,2020-04-08 00:44:37,2020-04-08 00:44:38,0.433s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.149,,,2020-04-08 00:44:38,2020-04-08 00:45:09,30.929s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.149,,,2020-04-08 00:44:38,2020-04-08 00:44:51,13.423s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.149,,,2020-04-08 00:44:51,2020-04-08 00:44:52,1.354s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.149,,,2020-04-08 00:44:52,2020-04-08 00:45:08,15.737s,PASSED
closeBrowser(),Chrome 80.0.3987.149,,,2020-04-08 00:45:08,2020-04-08 00:45:09,0.398s,PASSED
