Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OpenClose,,,,2020-04-13 20:16:26,2020-04-13 20:16:33,7.296s,FAILED
,,,,,,,
Test Cases/OpenClose1,,,,2020-04-13 20:16:26,2020-04-13 20:16:31,4.175s,FAILED
"openBrowser(""https://www.ic-connection.com"")",,,,2020-04-13 20:16:27,2020-04-13 20:16:31,3.672s,FAILED
,,,,,,,
Test Cases/OpenClose2,,,,2020-04-13 20:16:31,2020-04-13 20:16:33,2.651s,FAILED
"openBrowser(""https://www.ic-connection.com"")",,,,2020-04-13 20:16:31,2020-04-13 20:16:33,2.200s,FAILED
