Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:41:03,2020-04-08 16:42:54,1m - 50.700s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:41:04,2020-04-08 16:41:47,42.735s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:41:05,2020-04-08 16:41:25,20.088s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:41:25,2020-04-08 16:41:35,10.269s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:41:35,2020-04-08 16:41:47,11.226s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:41:47,2020-04-08 16:41:47,0.359s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:41:47,2020-04-08 16:42:18,30.912s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:41:47,2020-04-08 16:42:01,13.830s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:42:01,2020-04-08 16:42:10,9.022s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:42:10,2020-04-08 16:42:18,7.738s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:42:18,2020-04-08 16:42:18,0.299s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:42:18,2020-04-08 16:42:54,36.175s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:42:18,2020-04-08 16:42:37,19.403s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:42:37,2020-04-08 16:42:46,8.482s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:42:46,2020-04-08 16:42:54,7.962s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:42:54,2020-04-08 16:42:54,0.310s,PASSED
