Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:10:18,2020-04-08 16:12:28,2m - 10.071s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:10:18,2020-04-08 16:10:56,37.980s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:10:19,2020-04-08 16:10:40,21.214s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:10:40,2020-04-08 16:10:48,7.946s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:10:48,2020-04-08 16:10:56,8.016s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:10:56,2020-04-08 16:10:56,0.399s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:10:56,2020-04-08 16:11:30,33.516s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:10:56,2020-04-08 16:11:20,23.553s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:11:20,2020-04-08 16:11:21,1.288s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:11:21,2020-04-08 16:11:29,8.369s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:11:29,2020-04-08 16:11:30,0.283s,PASSED
,,,,,,,
Test Cases/Log in/Covid-19,Chrome 80.0.3987.163,,,2020-04-08 16:11:30,2020-04-08 16:12:28,58.054s,PASSED
"openBrowser(""https://www.worldometers.info/coronavirus/"")",Chrome 80.0.3987.163,,,2020-04-08 16:11:30,2020-04-08 16:12:11,41.724s,PASSED
"click(findTestObject(""Object Repository/Covid-19 Object Repo/Page_Coronavirus Update (Live) 1204075 Case_106633/a_view by country""))",Chrome 80.0.3987.163,,,2020-04-08 16:12:11,2020-04-08 16:12:20,8.431s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Covid-19/Country"").getRowNumbers(), (rowNum++)])",Chrome 80.0.3987.163,,,2020-04-08 16:12:20,2020-04-08 16:12:27,7.492s,PASSED
closeBrowser(),Chrome 80.0.3987.163,,,2020-04-08 16:12:27,2020-04-08 16:12:28,0.391s,PASSED
